STATENAME,URL,WEBSITE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 13,Very High,Feb-08-2020,6,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 12,Very High,Feb-15-2020,7,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 12,Very High,Feb-22-2020,8,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 11,Very High,Feb-29-2020,9,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 11,Very High,Mar-07-2020,10,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 11,Very High,Mar-14-2020,11,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 11,Very High,Mar-21-2020,12,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 10,High,Mar-28-2020,13,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 6,Moderate,Apr-04-2020,14,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 4,Low,Apr-11-2020,15,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 3,Minimal,Apr-18-2020,16,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Apr-25-2020,17,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-02-2020,18,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-09-2020,19,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-16-2020,20,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-23-2020,21,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,May-30-2020,22,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-06-2020,23,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-13-2020,24,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-20-2020,25,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jun-27-2020,26,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-04-2020,27,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-11-2020,28,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-18-2020,29,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Jul-25-2020,30,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-01-2020,31,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-08-2020,32,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-15-2020,33,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-22-2020,34,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Aug-29-2020,35,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-05-2020,36,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-12-2020,37,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-19-2020,38,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Sep-26-2020,39,2019-20
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-03-2020,40,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-10-2020,41,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-17-2020,42,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-24-2020,43,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Oct-31-2020,44,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-07-2020,45,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-14-2020,46,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-21-2020,47,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Nov-28-2020,48,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Dec-05-2020,49,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Dec-12-2020,50,2020-21
Alabama,http://adph.org/influenza/,Influenza Surveillance,Level 1,Minimal,Dec-19-2020,51,2020-21
